MPO_AREA,MPO_FIPS,MPO_NAME,MSA_FIPS,MSA_NAME,COUNTY_FIPS,COUNTY_NAME,STATE_FIPS,STATE_NAME,STATE_LONG_NAME
St Louis,EWG,East-West Gateway Council of Governments,41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",189,St. Louis,29,MO,Missouri
Tampa,SCTPA,Sun Coast Transporation Planning Alliance,26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",17,Citrus,12,FL,Florida
Tampa,SCTPA,Sun Coast Transporation Planning Alliance,45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",53,Hernando,12,FL,Florida
Tampa,SCTPA,Sun Coast Transporation Planning Alliance,45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",57,Hillsborough,12,FL,Florida
Tampa,SCTPA,Sun Coast Transporation Planning Alliance,35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",81,Manatee,12,FL,Florida
Tampa,SCTPA,Sun Coast Transporation Planning Alliance,45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",101,Pasco,12,FL,Florida
Tampa,SCTPA,Sun Coast Transporation Planning Alliance,45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",103,Pinellas,12,FL,Florida
Tampa,SCTPA,Sun Coast Transporation Planning Alliance,29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",105,Polk,12,FL,Florida
Tampa,SCTPA,Sun Coast Transporation Planning Alliance,35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",115,Sarasota,12,FL,Florida
Washington DC,COG,Metropolitan Washington Council of Governments,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",1,District of Columbia,11,DC,District of Columbia
Washington DC,COG,Metropolitan Washington Council of Governments,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",17,Charles,24,MD,Maryland
Washington DC,COG,Metropolitan Washington Council of Governments,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",21,Frederick,24,MD,Maryland
Washington DC,COG,Metropolitan Washington Council of Governments,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",31,Montgomery,24,MD,Maryland
Washington DC,COG,Metropolitan Washington Council of Governments,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",33,Prince George's,24,MD,Maryland
Washington DC,COG,Metropolitan Washington Council of Governments,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",13,Arlington,51,VA,Virginia
Washington DC,COG,Metropolitan Washington Council of Governments,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",107,Loudoun,51,VA,Virginia
Washington DC,COG,Metropolitan Washington Council of Governments,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",59,Fairfax,51,VA,Virginia
Washington DC,COG,Metropolitan Washington Council of Governments,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",153,Prince William,51,VA,Virginia
